phase,date,species,alive,block,lat,long,trap_site,treatment,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-10-21,Psammophis crucifer,alive,1,-26.4976,28.2914,13B,NA,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-21,Lamprophis capensis,alive,1,-26.504683333333332,28.2903,13C,NA,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-21,Agama aculeata distanti,alive,2,-26.52485,28.2665,D3,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-21,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-22,Hemachatus haemachatus,dead,1,-26.4976,28.2914,13B,NA,2,funnel,3,black,NA,NA,juvenile,NA
pre-treatment,2005-10-22,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-22,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,1,funnel,2,blue,no,NA,juvenile,NA
pre-treatment,2005-10-23,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-23,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,4,funnel,8,black,yes,Z1,adult,yes
pre-treatment,2005-10-23,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-25,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-25,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-25,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-25,Psammophis crucifer,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,5,black,NA,NA,adult,NA
pre-treatment,2005-10-26,Agama aculeata distanti,alive,1,-26.500616666666666,28.288283333333332,13A,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-27,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,1,-26.4976,28.2914,13B,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-28,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,4,funnel,7,black,yes,13B,adult,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,dead,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,3,funnel,5,blue,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,6,blue,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,4,funnel,8,blue,no,NA,adult,NA
pre-treatment,2005-10-29,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-31,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,3,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-10-31,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-31,Agama aculeata distanti,alive,2,-26.52485,28.2665,D3,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-31,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-01,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-11-01,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-02,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,0,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-11-02,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-03,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-11-03,Gerrhosaurus flavigularis,dead,4,-26.547416666666667,28.207066666666666,6C,NA,2,fence,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-04,Gerrhosaurus flavigularis,alive,1,-26.4976,28.2914,13B,NA,1,funnel,2,black,no,NA,adult,NA
pre-treatment,2005-11-04,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-04,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-04,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-04,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-07,Trachylepis capensis,dead,2,-26.52391666666667,28.26931666666667,D2,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-07,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-07,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-08,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,funnel,2,blue,yes,13C,adult,NA
pre-treatment,2005-11-08,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-10,Leptotyphlops sp.,alive,2,-26.52391666666667,28.26931666666667,D2,NA,0,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-11-10,Pseudaspis cana,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,2,funnel,3,blue,NA,NA,juvenile,NA
pre-treatment,2005-11-10,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,2,funnel,4,black,yes,Z1,adult,NA
pre-treatment,2005-11-10,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,5,black,yes,6B,adult,yes
pre-treatment,2005-11-14,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-14,Trachylepis varia,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-14,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-15,Trachylepis capensis,alive,1,-26.504683333333332,28.2903,13C,NA,1,funnel,2,blue,no,NA,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,1,-26.504683333333332,28.2903,13C,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-17,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-17,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-11-17,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-18,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,yes,D1,adult,yes
pre-treatment,2005-11-18,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,adult,NA
